Functional.group,ScientificName_WoRMS,IBTS.species,Code,Common.name,ICES.Statlant.name,ITIS_TSN,WoRMS_AphiaID,Max.L..cm.,a,b,N,Min.L..cm.,Life.span..years.,TL,DEMPEL,TL_Ecopath,max len demersal,max len,LSI demersal,LSI_eco,Trophic_guild,Habitat_1,Piscivore,Bentho-piscivore,Benthivore,Planktivore
Miscellaneous filter feeding pelagic fish,Sardina pilchardus,Sardina pilchardus,,Sardine,European pilchard(=Sardine),161813,126421,29,0.0018,3.4914,5,NA,NA,3.43,PEL,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Lesueurigobius,Lesueurigobius,,Other,,172034,125992,9,0.0026,3.515,Average over North Sea species in Lesuerigobius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Lesueurigobius friesii,Lesueurigobius friesii,,Other,,172036,126904,11,0.0026,3.515,20,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Syngnathus acus,Syngnathus acus,GPF,GREAT PIPEFISH,,166464,127387,47,1.00E-04,3.527,4,25,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Illex illecebrosus,Illex illecebrosus,,Cephalopods,,82521,153087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Loligo subulata,Loligo subulata,,Cephalopods,,556692,341892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Loligo vulgaris,Loligo vulgaris,LLV,SQUID,Common squids nei,82375,140271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Octopus vulgaris,Octopus vulgaris,,Cephalopods,Octopuses nei,82603,140605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Sepia officinalis,Sepia officinalis,CTC,COMMON CUTTLEFISH,Common cuttlefish,82363,141444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Sepietta oweniana,Sepietta oweniana,STO,Cephalopods,,82359,141452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large crabs,Homarus gammarus,Homarus gammarus,LBE,EUROPEAN LOBSTER,European lobster,97315,107253,NA,NA,NA,NA,NA,NA,3.69,DEM,3.82539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Salmo,Salmo,,Large demersal fish,,161994,126141,NA,NA,NA,NA,NA,NA,4.2,NA,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Salmo trutta,Salmo trutta,TRS,SEA TROUT (BROWN TROUT),,161997,127187,NA,NA,NA,NA,NA,NA,4.2,NA,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Dicentrarchus labrax,Dicentrarchus labrax,,Bass,,170317,126975,100,NA,NA,NA,NA,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephrops,Nephrops norvegicus,Nephrops norvegicus,NEP,NORWAY LOBSTER,Nephrops,97317,107254,NA,NA,NA,NA,NA,5,3.51,NA,3.522799824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small mobile epifauna,Pycnogonum litorale,Pycnogonum littorale,PGL,SEA SPIDER,,83665,239867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Arctozenus risso,Notolepis rissoi,,Other,,162471,126352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Atherina presbyter,Atherina presbyter,,Other,,166025,272030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Boops boops,Boops boops,,Other,,169218,127047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Cephalopoda,Cephalopoda,,Cephalopods,,82326,11707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Chelon labrosus,Chelon labrosus,,Other,,170371,126977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Gasterosteidae,Gasterosteidae,,Other,,166363,125476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Labrus mixtus,Labrus mixtus,,Other,,170739,151501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Lamna nasus,Lamna nasus,,Other,,159911,105841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Lepadogaster,Lepadogaster,,Other,,164475,125781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Percichthyidae,Percichthyidae,,Other,,170315,125549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Serranus cabrilla,Serranus cabrilla,,Other,,167865,127041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Zenopsis conchifer,Zenopsis ocellata,,Other,,166283,127426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Gasterosteus aculeatus,Gasterosteus aculeatus,TSS,THREE-SPINED STICKLEBACK,,166365,126505,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Symphodus melops,Symphodus melops,,Other,,614239,273571,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Cottidae,Cottidae,,Small demersal fish,,167196,125589,20,NA,NA,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small demersal fish,Ctenolabrus rupestris,Ctenolabrus rupestris,GDY,GOLDSINNY,,170733,126964,20,NA,NA,NA,NA,NA,4.19,DEM,4.196237529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Labrus bergylta,Labrus bergylta,,Other,,170737,126965,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Eledone cirrhosa,Eledone cirrhosa,,Cephalopods,,82646,140600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Illex coindetii,Illex coindetii,,Cephalopods,,82523,140621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Loligo forbesii,Loligo forbesii,,Cephalopods,,82374,416668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Octopodidae,Octopodidae,OCT,OCTOPUSES,,82590,11782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Rossia macrosoma,Rossia macrosoma,ROM,Cephalopods,,82343,141449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cephalopods,Sepiidae,Sepiidae,SEY,Cephalopods,,82360,11723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large crabs,Cancer pagurus,Cancer pagurus,CRE,EDIBLE CRAB,Edible crab,98681,107276,NA,NA,NA,NA,NA,NA,3.69,DEM,3.82539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large crabs,Lithodes maja,Lithodes maja,LDM,STONE CRAB,,97943,107205,NA,NA,NA,NA,NA,NA,3.69,DEM,3.82539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Dicentrarchus,Dicentrarchus,,Bass,,170316,126029,NA,NA,NA,NA,NA,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large demersal fish,Salmo salar,Salmo salar,,Salmon,Atlantic Salmon,161996,127186,NA,NA,NA,NA,NA,NA,4.2,DEM,4.217904059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miscellaneous filter feeding pelagic fish,Myctophiformes,Myctophiformes,,Miscellaneous filter feeding pelagic fish,,162368,10309,NA,NA,NA,NA,NA,NA,3.43,PEL,3.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spotted dogfish,Scyliorhinidae,Scyliorhinidae,,Small sharks,,159985,105693,80,NA,NA,NA,NA,NA,NA,NA,NA,80,80,0,0,Bentho-piscivore,Benthopelagic,0,1,0,0
unclassified,Acipenser sturio,Acipenser sturio,STU,(EUROPEAN)STURGEON,,161072,126279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Austrorossia,Austrorossia,,Other,,82337,341410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Blennius ocellaris,Blennius ocellaris,,Other,,171126,126761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Brama brama,Brama brama,,Ray's bream,,170290,126783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Cepola macrophthalma,Cepola rubescens,,Other,,170282,126835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Chelidonichthys obscurus,Chelidonichthys obscurus,,Other,,643891,127263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Gadiculus,Gadiculus,,Other,,164771,125731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Lampetra,Lampetra,,Other,,159700,101167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,NA,Chelidonichthys gurnardus,,Other,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Petromyzon,Petromyzon,,Other,,159721,101169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Scomberesox saurus,Scomberesox saurus,,Atlantic saury,,165612,126392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Scorpaena loppei,Scorpaena loppei,,Other,,166836,127244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Spinachia spinachia,Spinachia spinachia,,Other,,166401,126508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Todaropsis eblanae,Todaropsis eblanae,,Cephalopods,,205728,140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Trachyrincus murrayi,Trachyrincus murrayi,,Other,,165419,126481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unclassified,Zeiformes,Zeiformes,,Other,,166271,10919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
